FREQ,REF_AREA,SEASONAL_ADJUST,INDICATOR,ACTIVITY,TIME_PERIOD,OBS_VALUE,BASE_PER
Q,GR,W,LCI_T,F,2000-Q2,86.7,2012
Q,GR,W,LCI_T,G,2000-Q2,71.6,2012
Q,GR,W,LCI_T,H,2000-Q2,79.1,2012
Q,GR,W,LCI_T,I,2000-Q2,93.3,2012
Q,GR,W,LCI_T,J,2000-Q2,81.5,2012
Q,GR,W,LCI_T,K,2000-Q2,89.7,2012
Q,GR,W,LCI_T,L,2000-Q2,39.9,2012
Q,GR,W,LCI_T,M,2000-Q2,61.2,2012
Q,GR,W,LCI_T,N,2000-Q2,69.9,2012
Q,GR,W,LCI_T,O,2000-Q2,81.8,2012
Q,GR,W,LCI_T,P,2000-Q2,85.4,2012
Q,GR,W,LCI_T,Q,2000-Q2,98.3,2012
Q,GR,W,LCI_T,R,2000-Q2,88.6,2012
Q,GR,W,LCI_T,S,2000-Q2,80.6,2012
Q,GR,W,LCI_T,BTE,2000-Q2,78.6,2012
Q,GR,W,LCI_T,BTF,2000-Q2,80.5,2012
Q,GR,W,LCI_T,BTN,2000-Q2,77.9,2012
Q,GR,W,LCI_T,BTS,2000-Q2,80.1,2012
Q,GR,W,LCI_T,GTJ,2000-Q2,76.2,2012
Q,GR,W,LCI_T,GTN,2000-Q2,77,2012
Q,GR,W,LCI_T,KTN,2000-Q2,79,2012
